orig_indexA,orig_indexB,duplicate_prob,pred_label,true_label,pred_string,true_string,distance_m
5311,8183,0.8346182107925415,1,0,duplicate,non-duplicate,0.0
5311,4184,0.8467454314231873,1,1,duplicate,duplicate,99.32851166046123
37694,38838,0.08025258779525757,0,0,non-duplicate,non-duplicate,221.45793742611082
37694,37703,0.09914091229438782,0,0,non-duplicate,non-duplicate,261.8458438804511
37694,37751,0.09725741297006607,0,0,non-duplicate,non-duplicate,330.2157896608812
37694,37593,0.0873044952750206,0,0,non-duplicate,non-duplicate,199.00278855243386
37694,37260,0.0894177034497261,0,0,non-duplicate,non-duplicate,115.99032792969014
37694,37405,0.07985345274209976,0,0,non-duplicate,non-duplicate,138.61020461709873
37694,37784,0.09004560112953186,0,0,non-duplicate,non-duplicate,408.05383373818876
37694,37132,0.08730286359786987,0,0,non-duplicate,non-duplicate,237.58181572601325
37694,37456,0.1005171611905098,0,0,non-duplicate,non-duplicate,331.43016659686936
37694,37777,0.09024286270141602,0,0,non-duplicate,non-duplicate,248.5718968232136
37694,37493,0.08631814271211624,0,0,non-duplicate,non-duplicate,337.38066306505567
37694,37197,0.09116805344820023,0,0,non-duplicate,non-duplicate,232.49649877748612
37694,37142,0.09334222227334976,0,0,non-duplicate,non-duplicate,172.37732602559493
37694,37166,0.1018044576048851,0,0,non-duplicate,non-duplicate,209.03495928467007
37694,37165,0.08449771255254745,0,0,non-duplicate,non-duplicate,210.69600188842995
37694,38722,0.08427038043737411,0,0,non-duplicate,non-duplicate,99.81276939499267
37694,37708,0.08192218840122223,0,0,non-duplicate,non-duplicate,473.1377648004643
37694,37131,0.10642173141241074,0,0,non-duplicate,non-duplicate,161.93105899077406
37694,37324,0.10053249448537827,0,0,non-duplicate,non-duplicate,197.44493321616793
37694,37798,0.07892359793186188,0,0,non-duplicate,non-duplicate,366.7559975886113
37694,37710,0.08447366207838058,0,0,non-duplicate,non-duplicate,327.2650177520354
37694,37395,0.08496217429637909,0,0,non-duplicate,non-duplicate,291.6552578287656
37694,37430,0.0869649201631546,0,0,non-duplicate,non-duplicate,190.9648781710372
37694,37660,0.09079259634017944,0,0,non-duplicate,non-duplicate,273.8661382076175
37694,37853,0.09687858074903488,0,0,non-duplicate,non-duplicate,177.52606730906274
37694,37317,0.11766606569290161,0,0,non-duplicate,non-duplicate,261.1464310431883
37694,37887,0.08291717618703842,0,0,non-duplicate,non-duplicate,180.72784649933666
37694,37704,0.09477347135543823,0,0,non-duplicate,non-duplicate,318.48543459754006
37694,4066,0.08949267864227295,0,0,non-duplicate,non-duplicate,150.10364028561386
37694,6822,0.07996170967817307,0,0,non-duplicate,non-duplicate,211.60396466603865
37694,6415,0.08273618668317795,0,0,non-duplicate,non-duplicate,273.12363788819397
37694,4072,0.0941193699836731,0,0,non-duplicate,non-duplicate,315.08617568922955
37694,4061,0.09276001155376434,0,0,non-duplicate,non-duplicate,118.9723424369179
37694,4079,0.09341267496347427,0,0,non-duplicate,non-duplicate,341.538336845701
37694,4060,0.08371740579605103,0,0,non-duplicate,non-duplicate,130.18488480984735
37694,4096,0.09408587217330933,0,0,non-duplicate,non-duplicate,282.80530100858203
37694,11255,0.08253953605890274,0,0,non-duplicate,non-duplicate,238.93640880614365
37694,4086,0.09718377888202667,0,0,non-duplicate,non-duplicate,193.30824864630176
37694,4076,0.09051107615232468,0,0,non-duplicate,non-duplicate,325.771953875361
37694,4089,0.07746714353561401,0,0,non-duplicate,non-duplicate,225.5011463655763
37694,6412,0.07857646048069,0,0,non-duplicate,non-duplicate,322.0131623097771
37694,4064,0.08117552101612091,0,0,non-duplicate,non-duplicate,138.1284606176231
37694,4078,0.08561605960130692,0,0,non-duplicate,non-duplicate,336.2828358581532
37694,4081,0.08563610911369324,0,0,non-duplicate,non-duplicate,174.57976835705588
37694,4073,0.07971101254224777,0,0,non-duplicate,non-duplicate,310.62623715182394
37694,9582,0.08008608967065811,0,0,non-duplicate,non-duplicate,101.73485103864375
37694,7174,0.07832864671945572,0,0,non-duplicate,non-duplicate,490.51933523167924
37694,4070,0.08518258482217789,0,0,non-duplicate,non-duplicate,257.55676350557763
37694,4065,0.0795816034078598,0,0,non-duplicate,non-duplicate,142.83531224789178
37694,4098,0.08140039443969727,0,0,non-duplicate,non-duplicate,158.70904008394922
37694,4062,0.0897771343588829,0,0,non-duplicate,non-duplicate,129.12601858900823
37694,4063,0.0865849182009697,0,0,non-duplicate,non-duplicate,133.57111759535718
37694,4091,0.0836227610707283,0,0,non-duplicate,non-duplicate,238.88913659348316
37694,9562,0.08255372941493988,0,0,non-duplicate,non-duplicate,217.77686406550384
37694,4092,0.08678220957517624,0,0,non-duplicate,non-duplicate,247.78415875493764
37694,4059,0.0854974016547203,0,0,non-duplicate,non-duplicate,119.14516826926473
37694,4084,0.07751727104187012,0,0,non-duplicate,non-duplicate,183.50202719472566
37694,9590,0.08016408234834671,0,0,non-duplicate,non-duplicate,357.12551949774326
37694,4071,0.08428055793046951,0,0,non-duplicate,non-duplicate,311.6258073856876
37694,6820,0.08326327800750732,0,0,non-duplicate,non-duplicate,211.52161865624507
37694,4101,0.07542026042938232,0,0,non-duplicate,non-duplicate,90.35139970396125
37694,6417,0.07544497400522232,0,0,non-duplicate,non-duplicate,285.072367784137
37694,4868,0.08617306500673294,0,0,non-duplicate,non-duplicate,219.71706783416812
37694,4085,0.0870295986533165,0,0,non-duplicate,non-duplicate,192.23142332257927
37694,4090,0.10548865050077438,0,0,non-duplicate,non-duplicate,232.02740781036934
37694,4075,0.09433624148368835,0,0,non-duplicate,non-duplicate,320.9249164496418
37694,6823,0.10154984891414642,0,0,non-duplicate,non-duplicate,300.17232868541385
37694,4093,0.08192469924688339,0,0,non-duplicate,non-duplicate,256.44713574622097
37694,4082,0.08294438570737839,0,0,non-duplicate,non-duplicate,184.6128041878236
37694,4080,0.08720806986093521,0,0,non-duplicate,non-duplicate,346.4236726845659
