original_address,lat,long,formatted,name,housenumber,street,district,postcode,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
"London Kings Hotel, 254, Edgware Road, London, , GB, Westminster, W21DS",51.5192195,-0.16860884,"London Kings Hotel, 254 Edgware Road, London, W2 1DS, United Kingdom",London Kings Hotel,254,Edgware Road,,W2 1DS,Paddington,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Moulin Hotel, Kirkmichael Road, Moulin, Perth and Kinross, PH165EW",56.71276291,-3.726736151,"Kirkmichael Road, Moulin, PH16 5EW, United Kingdom",Kirkmichael Road,,Kirkmichael Road,,PH16 5EW,,Moulin,Perth and Kinross,PKN,Scotland,SCT,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Llandudno Hotel, 10, Church Walks, Llandudno, , GB, Conwy, LL302HG",53.3271823,-3.833983906,"The Llandudno Hotel, 10 Church Walks, Llandudno, LL30 2HG, United Kingdom",The Llandudno Hotel,10,Church Walks,,LL30 2HG,Llandudno,Llandudno,Conwy,CWY,Wales,WLS,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Signature Townhouse Hyde Park, 36, Lancaster Gate",51.51265255,-0.180284172,"Signature Townhouse Hyde Park, 36 Lancaster Gate, London, W2 3NP, United Kingdom",Signature Townhouse Hyde Park,36,Lancaster Gate,,W2 3NP,Paddington,London,Greater London,,England,ENG,United Kingdom,gb,0,,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Courtyard by Marriott London Heathrow Airport, 1, Nobel Drive, Hayes, , GB, Hillingdon, UB35EY",51.48131235,-0.432607766,"Courtyard by Marriott London Heathrow Airport, 1 Nobel Drive, London, UB3 5EY, United Kingdom",Courtyard by Marriott London Heathrow Airport,1,Nobel Drive,,UB3 5EY,,London,Greater London,,England,ENG,United Kingdom,gb,0.675,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Crags Hotel, 101, Main Street, Callander, , GB, Stirling, FK178BQ",56.2431474,-4.2119797,"The Crags Hotel, 101 Main Street, Callander, FK17 8BQ, United Kingdom",The Crags Hotel,101,Main Street,,FK17 8BQ,,Callander,Stirling,STG,Scotland,SCT,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Best Western The Rose & Crown, East Street, Colchester, East of England, CO12TZ",51.89022365,0.916583863,"East Street, Colchester, CO1 2TZ, United Kingdom",East Street,,East Street,,CO1 2TZ,Hythe,Colchester,Essex,ESS,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Hotel Miramar, 158, Station Road, Carmarthenshire, SA151YU",51.6739258,-4.16020151,"Hotel Miramar, 158 Station Road, Llanelli, SA15 1YU, United Kingdom",Hotel Miramar,158,Station Road,,SA15 1YU,Tŷ-isaf,Llanelli,Carmarthenshire,CMN,Wales,WLS,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Novotel, 80, Lauriston Place, Edinburgh, , GB, City of Edinburgh, EH39DG",55.945101,-3.1996608,"Novotel, 80 Lauriston Place, City of Edinburgh, EH3 9DG, United Kingdom",Novotel,80,Lauriston Place,Lauriston,EH3 9DG,Tollcross,City of Edinburgh,,,Scotland,SCT,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Sheriff Hotel, 115, Warwick Way, London, , GB, Westminster, SW1V4HT",51.49088805,-0.144879211,"Sheriff Hotel, 115 Warwick Way, London, SW1V 4HT, United Kingdom",Sheriff Hotel,115,Warwick Way,Abbots Manor Estate,SW1V 4HT,Pimlico,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Travelodge, 10-42, King's Cross Road, London, Islington, WC1X9QE",51.52708315,-0.114128467,"Travelodge, 10-42 King's Cross Road, London, WC1X 9QE, United Kingdom",Travelodge,Oct-42,King's Cross Road,London Borough of Islington,WC1X 9QE,Clerkenwell,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Raynscourt Lodge, 16, Euston Road, Great Yarmouth",52.60974305,1.736216593,"Raynscourt Lodge, 16 Euston Road, Great Yarmouth, NR30 1GA, United Kingdom",Raynscourt Lodge,16,Euston Road,,NR30 1GA,Northgate,Great Yarmouth,Norfolk,NFK,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Grapevine Hotel, 117, Warwick Way, London",51.4908737,-0.144983863,"The Grapevine Hotel, 117 Warwick Way, London, SW1V 4JA, United Kingdom",The Grapevine Hotel,117,Warwick Way,Abbots Manor Estate,SW1V 4JA,Pimlico,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Novotel, 181, Pitt Street, Glasgow, , GB, Glasgow City, G24DT",55.8643595,-4.2652844,"Novotel, 181 Pitt Street, Glasgow, G2 4DT, United Kingdom",Novotel,181,Pitt Street,,G2 4DT,Garnethill,Glasgow,Glasgow City,GLG,Scotland,SCT,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Osborne Hotel, 13-15, Osborne Road, Newcastle upon Tyne, North East, NE22AE",54.98838395,-1.605779437,"Osborne Hotel, 13-15 Osborne Road, Newcastle upon Tyne, NE2 2AE, United Kingdom",Osborne Hotel,13-15,Osborne Road,Cradlewell,NE2 2AE,Jesmond,Newcastle upon Tyne,Tyne and Wear,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Station Hotel, Nottingham, , GB, Ashfield, East Midlands, NG157TQ",53.03862835,-1.19817372,"Station Hotel, Station Terrace, Nottingham, NG15 7TQ, United Kingdom",Station Hotel,,Station Terrace,Beardall Fields,NG15 7TQ,Hucknall,Nottingham,Nottinghamshire,NTT,England,ENG,United Kingdom,gb,0.5,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Town House, 34, Old Elvet, Durham, County Durham, North East, DH13HN",54.77494865,-1.56822527,"The Town House, 34 Old Elvet, Durham, DH1 3HN, United Kingdom",The Town House,34,Old Elvet,,DH1 3HN,Elvet,Durham,County Durham,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Rose and Crown, 55, High Street, London, Merton, SW195BA",51.4258477,-0.22022306,"The Rose and Crown, 55 High Street, London, SW19 5BA, United Kingdom",The Rose and Crown,55,High Street,London Borough of Merton,SW19 5BA,,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Belmont Hotel, 104, Sussex Gardens, London, Westminster, W21UH",51.51624725,-0.171398646,"Belmont Hotel, 104 Sussex Gardens, London, W2 1UH, United Kingdom",Belmont Hotel,104,Sussex Gardens,,W2 1UH,Paddington,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Ned, 27, Poultry, London, City of London, EC2R8AJ",51.51372655,-0.090037995,"The Ned, 27 Poultry, City of London, EC2R 8AJ, United Kingdom",The Ned,27,Poultry,,EC2R 8AJ,Bank,City of London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
